open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
192.725,194.5,191.35,193.13,12874957.0,194.5,191.35,193.13,192.725,12874957.0,1.0,0.0,GOOG,XNAS,2025-01-03T00:00:00+0000
421.08,424.03,419.54,423.35,16640200.0,424.03,419.54,423.35,421.08,16662943.0,1.0,0.0,MSFT,XNAS,2025-01-03T00:00:00+0000
243.36,244.18,241.89,243.36,40202700.0,244.18,241.89,243.36,243.36,40244114.0,1.0,0.0,AAPL,XNAS,2025-01-03T00:00:00+0000
222.505,225.36,221.62,224.19,27515606.0,225.36,221.62,224.19,222.505,27515606.0,1.0,0.0,AMZN,XNAS,2025-01-03T00:00:00+0000
191.37,193.21,189.975,191.79,18596159.0,193.21,189.975,191.79,191.37,18596159.0,1.0,0.0,GOOGL,XNAS,2025-01-03T00:00:00+0000
190.65,192.0,187.5,189.43,20370828.0,192.0,187.5,189.43,190.65,20370828.0,1.0,0.0,GOOGL,XNAS,2025-01-02T00:00:00+0000
191.485,193.2,188.71,190.63,17545162.0,193.2,188.71,190.63,191.485,17545162.0,1.0,0.0,GOOG,XNAS,2025-01-02T00:00:00+0000
222.03,225.15,218.19,220.22,33956579.0,225.15,218.19,220.22,222.03,33956579.0,1.0,0.0,AMZN,XNAS,2025-01-02T00:00:00+0000
425.53,426.07,414.85,418.58,16848300.0,426.07,414.85,418.58,425.53,16896469.0,1.0,0.0,MSFT,XNAS,2025-01-02T00:00:00+0000
248.93,249.1,241.82,243.85,55558000.0,249.1,241.8201,243.85,248.93,55740731.0,1.0,0.0,AAPL,XNAS,2025-01-02T00:00:00+0000
252.44,253.28,249.43,250.42,39480718.0,253.28,249.43,250.42,252.44,39480718.0,1.0,0.0,AAPL,XNAS,2024-12-31T00:00:00+0000
191.075,191.96,188.51,189.3,17466919.0,191.96,188.51,189.3,191.075,17466919.0,1.0,0.0,GOOGL,XNAS,2024-12-31T00:00:00+0000
426.1,426.73,420.66,421.5,13246509.0,426.73,420.66,421.5,426.1,13246509.0,1.0,0.0,MSFT,XNAS,2024-12-31T00:00:00+0000
192.445,193.25,189.58,190.44,14355221.0,193.25,189.58,190.44,192.445,14355221.0,1.0,0.0,GOOG,XNAS,2024-12-31T00:00:00+0000
222.965,223.2299,218.94,219.39,24819655.0,223.2299,218.94,219.39,222.965,24819655.0,1.0,0.0,AMZN,XNAS,2024-12-31T00:00:00+0000
220.06,222.9972,218.43,221.3,28321240.0,222.9972,218.43,221.3,220.06,28321240.0,1.0,0.0,AMZN,XNAS,2024-12-30T00:00:00+0000
252.23,253.5,250.75,252.2,35500300.0,253.5,250.75,252.2,252.23,35557542.0,1.0,0.0,AAPL,XNAS,2024-12-30T00:00:00+0000
190.865,193.78,190.36,192.69,12209534.0,193.78,190.36,192.69,190.865,12209534.0,1.0,0.0,GOOG,XNAS,2024-12-30T00:00:00+0000
189.8,192.55,189.12,191.24,14264659.0,192.55,189.12,191.24,189.8,14264659.0,1.0,0.0,GOOGL,XNAS,2024-12-30T00:00:00+0000
426.06,427.55,421.9,424.83,13135200.0,427.55,421.9,424.83,426.06,13158703.0,1.0,0.0,MSFT,XNAS,2024-12-30T00:00:00+0000
434.6,435.22,426.35,430.53,18095100.0,435.22,426.35,430.53,434.6,18117713.0,1.0,0.0,MSFT,XNAS,2024-12-27T00:00:00+0000
